Genes,GSM458594,GSM458595,GSM458596,GSM458597,GSM458598,GSM458599,GSM458600,GSM458601
10338120,8.428001797,8.902144166,8.799704929,9.175369078,8.949036752,8.974880657,8.717173499,8.937387389
10338121,3.86859476,3.147193502,2.82247243,2.582451941,3.218047287,3.37957827,2.76241895,3.039563536
10338122,4.620364675,3.691192288,4.911716347,4.369644365,4.479611994,4.17470457,4.278625441,5.199967017
10338123,8.318151166,8.91838027,8.297293011,9.098866639,9.096676653,8.829040604,9.179232422,8.830252634
10338124,5.407611703,5.276059339,5.704851297,5.609269141,5.801510339,4.975499656,4.758050394,5.76291874
10338125,3.591845789,3.727433225,3.225722004,2.936792362,3.638132139,4.588852251,3.752048134,3.928750579
10338126,1.90260916,2.142617143,2.065164663,2.043277649,2.041447338,2.081354877,1.986975574,2.297886271
10338127,5.086216132,5.105732852,3.28512021,5.320394684,4.401254526,4.132852109,4.624465443,5.405134584
10338128,7.539843198,8.0430652,7.629630603,8.254561995,7.836511494,8.365663107,8.382806108,8.19395292
10338129,7.685082903,6.984710206,7.544275583,7.131398709,7.101560801,6.857946901,6.748176712,7.292771318
10338130,2.464321096,2.52887081,2.343948516,2.744869749,3.794443819,2.417107097,2.565892949,2.866729041
10338131,4.696026376,4.125807147,3.393496926,4.357198369,3.692009088,4.234809837,3.88466675,4.717119015
10338132,2.188509719,2.298649177,2.431321909,2.362801771,2.096481371,2.249409882,2.156479714,2.643103123
10338133,5.345562004,4.670808631,5.25570043,4.265898809,4.63814867,3.622437111,4.796323354,5.345357118
10338134,8.239065105,7.976967218,8.13877083,8.329454813,8.179508601,8.004236127,8.177982347,8.030253813
10338135,6.17194728,5.945126863,6.290113463,5.754560256,5.375089222,5.607103803,5.682124854,6.006859598
10338136,6.575047858,5.642050226,6.327100209,6.283338819,6.07523752,6.024299025,6.565386079,6.132787368
10338137,6.678427605,5.411542267,6.484391065,5.854508023,6.317634605,6.708432602,6.031417877,6.319165349
10338138,9.340057655,9.799202359,9.098509367,9.794279958,9.547078051,9.461385166,10.13245275,9.965233857
10338139,5.862675293,5.712541004,6.294556551,5.988606689,5.936467889,5.841481286,5.600132158,6.233164266
10338140,3.030049641,2.133045413,2.472960232,2.412683248,3.783689588,2.790611946,2.950255214,2.961489568
10338141,6.559088822,6.026523644,5.998104049,5.966187173,6.104846644,6.142390728,6.037553988,6.272075312
10338142,4.970088431,4.519704759,5.693633774,5.304844512,4.966348099,5.21118673,4.925939401,5.029666226
10338143,2.097266874,2.361018615,1.947409724,2.103845074,2.442701429,2.070348719,2.279159072,2.279300136
10338144,6.398872631,6.81899535,5.99083888,6.489336549,6.659267973,6.325044682,6.477562969,6.816771213
10338145,6.64362603,5.924963189,6.504476178,6.079067573,6.468776141,6.579771465,6.17192922,6.631230156
10338146,4.251432219,4.25413705,3.743459052,4.693243077,3.29337017,3.551739887,3.420617462,3.792692857
10338147,10.28947728,10.16847307,9.834579573,9.454234756,9.920330669,10.06315049,10.41514628,10.38389249
10338148,4.369701303,3.495829994,5.183321636,4.23975702,4.434081654,4.684065674,4.198451309,4.986293183
10338149,3.220705995,3.627395071,2.595309454,2.99555952,3.697546897,3.065028309,3.803385357,3.204945482
10338150,7.173110942,7.839689381,7.416063303,8.042311213,7.853268239,7.713526173,8.078228601,7.975390199
10338151,5.136595974,3.751434945,5.606168382,5.057603532,5.341444156,5.262618909,5.696437897,5.397048773
10338152,5.7256047,3.824537812,5.86653206,4.200271324,5.47875463,5.675353764,4.669220063,4.87841508
10338153,4.065908901,4.695193443,4.367126628,5.127013106,4.017591865,4.695193443,5.472613769,3.279358769
10338154,5.884715893,5.797112661,5.888254571,5.342158625,6.566494534,5.673109052,5.720439625,5.934238853
10338155,6.859682528,7.429321492,6.637730929,6.929983519,7.399610057,6.663036873,6.836875683,6.652046396
10338156,4.646064127,3.855376352,5.116080874,4.362455015,4.413527395,3.837581264,4.082361065,4.711799155
10338157,3.9975256,2.744603693,3.363615773,3.880325436,3.865522031,3.145661103,3.852813957,3.680127491
10338158,3.571707424,3.536601301,3.566922499,3.315897678,2.939750105,2.947136682,2.522581911,2.83538738
10338159,4.220406534,3.695015508,4.574262022,3.858264097,4.161394001,4.195629053,4.246230729,4.35822363
10338160,8.6790427,7.773168182,8.585260717,7.533227196,8.195251778,8.199109588,7.952235429,8.488675029
10338161,8.031419557,7.316271049,8.107142229,7.519540845,7.278036486,7.689605605,7.10070091,7.284883292
10338162,8.711376466,7.206334005,8.044255828,7.09597561,7.45428166,6.720177282,6.935996288,7.388156203
10338163,7.576964367,7.866871957,7.356922211,7.247310754,7.690060823,7.554304905,7.813366674,8.030724814
10338164,5.380019981,5.321471927,6.349154509,4.619390048,5.118875368,5.559960215,5.205150756,5.607011204
10338165,3.643029984,2.836285825,4.239152551,3.744043503,4.071996103,4.141201176,3.60718464,2.686404451
