"","GSM4978121","GSM4978122","GSM4978123","GSM4978124","GSM4978125","GSM4978126","GSM4978127","GSM4978128","GSM4978129","GSM4978130","GSM4978131","GSM4978132","GSM4978133","GSM4978134"
"ASCRP000846",5.912155211,5.825490728,5.898411109,6.080066619,6.368384774,6.14856412,5.917559648,6.337940634,5.902937548,5.945294576,5.921140008,5.829637724,5.927025459,6.05912469
"ASCRP000847",6.009703235,6.163490978,6.099174608,6.285592798,6.33909513,6.144999799,5.880588215,7.111937492,6.004563401,5.994715678,6.022885827,5.925971824,6.023647631,6.263746864
"ASCRP000854",6.086590863,6.148272833,6.57347249,6.721464058,5.852786615,5.863288156,5.894316953,5.988367825,5.932841508,5.833253954,5.87627007,5.864845116,5.836713896,5.868104654
"ASCRP000858",6.041915975,6.14410407,6.079545469,5.884176738,6.164248546,6.377290758,6.310514004,6.17004538,6.166950238,6.2343374,6.172678864,6.291637385,6.110061523,6.347732569
"ASCRP000859",7.882791678,7.254605338,7.142734286,8.103484558,6.371007719,6.513411708,6.129747226,6.001973444,6.101550061,6.223165604,7.929866001,6.166908904,6.066793157,6.360411704
"ASCRP000860",7.639152896,7.374737593,7.461585785,8.497450971,6.686424422,6.970453225,6.376866952,6.425742068,6.122631023,6.430820333,7.952490504,6.302833736,6.291697912,7.022222564
"ASCRP000861",6.081922864,6.250952434,6.238490306,6.347792081,6.211813387,6.179866946,6.468212087,6.266440069,6.668853931,6.270446609,6.655410186,6.369297457,6.548536274,6.142048492
"ASCRP000862",6.378149586,6.260389673,6.346603579,6.08040273,6.104290703,6.332402787,6.165381113,6.314910934,6.182418726,6.143796461,6.162338663,6.028382215,6.053947144,6.310577398
"ASCRP000869",6.038835063,5.972950549,5.898339213,5.924318447,6.138761475,6.167160228,6.018480591,6.068812176,6.158383629,6.279584582,5.951595564,6.028583877,5.998775672,5.995443833
"ASCRP000870",6.047322826,6.028590644,5.999857902,5.969443805,6.046235152,6.142363277,6.08962439,6.381235757,6.08895758,6.173288234,5.924371643,6.062275309,5.952651364,6.040913358
"ASCRP000871",6.077492744,6.217422807,6.38501051,6.30416811,6.179432075,6.179082314,6.448279106,6.154754794,6.638799588,6.298496469,6.511623147,6.25955594,6.478118488,6.112642689
"ASCRP000874",6.042733334,5.957257353,5.889834727,6.00513522,6.229166273,6.277437607,6.336721241,6.102661691,6.135929729,6.43859192,6.02062503,6.152744271,6.038019838,6.026831857
"ASCRP000875",12.87568021,11.64556831,12.17384881,10.11864427,12.86614422,12.77566801,12.74629088,12.87201524,12.45078902,13.03970625,12.45509005,12.25478643,12.45509005,12.18613794
"ASCRP000877",5.935059554,5.893631351,5.989794758,6.053933175,6.516271522,6.364000261,6.075140736,6.093742507,6.017901245,6.160185622,5.912099413,5.997105963,5.891112402,6.178147265
"ASCRP000880",6.584983898,6.396433069,7.300738103,7.825791347,6.232533857,6.193901801,6.125328521,6.016752979,6.223828852,6.15024714,6.597623296,6.043760906,6.104608474,6.092580602
"ASCRP000881",7.079614356,7.715373119,6.67478005,6.434887113,7.010180057,6.848169256,6.93884412,7.065536897,7.315124479,7.481492008,6.677904986,8.201071377,7.013742582,7.272485998
"ASCRP000885",6.042028171,5.99263538,5.950090651,5.967902292,6.011529964,6.496895665,6.044006356,6.647214604,6.005205226,6.113741183,6.376751948,6.176765101,5.915143444,5.905136011
"ASCRP000886",6.270846739,6.080779465,5.986918064,6.034346999,6.029894139,7.031347184,5.992931713,6.756454137,5.92456431,6.137952108,6.755429555,6.066018279,5.908027099,5.935106993
"ASCRP000887",6.186397651,6.288966617,6.488819138,6.034568861,6.158141536,6.705624836,6.433273383,7.548692912,6.748673206,6.206945168,6.832538245,6.313682198,6.109335887,6.074845569
"ASCRP000888",6.16257808,5.861393441,5.941354214,5.875552657,6.089450694,6.173330171,5.93819532,6.169284702,5.960453337,6.065489615,5.890888338,5.910784991,5.876883825,5.887699258
"ASCRP000889",6.645487737,6.962056126,7.368038546,7.956112993,6.394757226,6.471825884,6.445591944,6.222498976,6.461785344,6.38414518,7.340733272,6.277529207,6.418078301,6.531055519
"ASCRP000890",13.66857377,13.85529497,14.38669318,13.72843057,13.53406343,13.66857377,14.52088251,14.93953075,14.50898655,14.72900809,13.85482639,14.7162824,14.51766117,13.2849406
"ASCRP000891",5.920002962,5.983605778,5.965649556,5.975559303,6.212005042,6.336567708,6.245662913,6.226103428,6.393751919,6.307764873,6.133487018,7.26483708,6.442533512,6.408857534
"ASCRP000892",6.5977644,6.342920973,6.898700637,7.389800237,6.492653601,6.4216153,6.531098524,6.270865909,6.627460965,6.93220077,6.491477488,8.162693841,7.466585786,6.717226203
"ASCRP000893",5.978633183,5.957502363,6.005230852,6.03065871,6.257897073,6.216607048,6.436609192,6.044982759,6.406709081,6.683833687,6.112047229,7.155560829,6.755234936,6.251473032
"ASCRP000894",6.072841319,6.01733516,6.067833989,6.07319889,6.474938014,6.337124891,6.376427669,6.300021611,6.699464939,6.919196391,6.419378732,8.145097472,7.326773157,6.902841142
"ASCRP000895",6.130965165,6.306669293,6.247963698,6.150078048,6.81071607,6.284219804,7.048264348,6.568531017,6.983197411,6.923522749,6.231009644,7.271427968,7.663692135,7.024934125
"ASCRP000899",7.130818275,6.271124671,6.191590037,6.202388174,9.341298709,8.873573965,7.901475097,9.354402462,7.052678914,8.631299008,8.183437464,9.230611789,8.929853475,9.958555864
"ASCRP000900",6.057560391,5.98778469,5.923431171,5.8871041,6.302062864,6.376948398,6.099183684,6.269246002,6.08706629,6.487434305,6.010434088,6.693131441,6.136233755,6.562808859
"ASCRP000901",5.940793631,5.861321304,5.882799099,5.922183259,6.167775282,6.123795692,6.048822933,5.960600656,6.094981454,6.15027461,6.104834912,6.323818365,6.227364058,6.02017092
"ASCRP000902",6.107709891,6.202418854,6.189302629,6.385426575,6.300226853,6.20733769,6.240336847,6.3912366,6.031492975,6.067799287,5.965092602,5.934451081,5.880719283,5.972870937
"ASCRP000904",6.016991573,5.83430603,5.877322274,5.888945581,6.563089,6.430358703,5.981945447,6.89010918,5.98993469,6.069651601,5.97275959,5.996944765,5.928960633,6.016608677
"ASCRP000906",6.618313622,6.506546873,7.062955041,7.281766351,6.760907473,6.532621467,6.300916627,7.159155034,6.231572079,6.170167974,6.327787848,6.064904264,6.1204882,6.043054546
"ASCRP000907",7.487658756,7.776269583,7.414741016,6.358473346,8.484762442,7.421955894,6.801555658,7.315293714,6.138860489,7.165800603,6.378893434,6.204907198,6.185057706,6.386099492
"ASCRP000908",6.954749313,6.686134728,6.713950667,6.19705057,8.060216294,7.093646234,6.622109086,6.449327442,6.261600417,6.435595938,6.190218718,6.188595551,6.242524367,6.163898739
"ASCRP000909",6.287569482,6.339495869,6.989819737,6.819914556,6.612194367,6.539236991,6.578500361,6.1645056,6.47221277,6.349999603,7.084639172,6.314214312,6.416472111,6.402140752
"ASCRP000910",6.121578839,6.154079505,6.480195391,6.546208351,6.517329209,6.339963114,6.434424707,6.251618503,6.370612304,6.203951462,6.222668912,6.360987399,6.264521186,6.05511736
"ASCRP000911",6.447883962,6.221269821,6.428309465,7.483519019,6.50070274,6.185278079,6.534338992,6.135509103,6.312464486,6.15002244,6.234669398,6.474394936,6.264521186,6.114568924
"ASCRP000913",5.919569945,5.92679348,5.917196165,5.98119792,6.088314094,5.915322088,6.018851566,5.983803242,6.067338002,6.082768879,6.002725373,6.557706977,6.253833856,6.032262881
"ASCRP000914",11.3364354,10.15037103,9.894282483,9.969686808,11.83839892,11.87065515,11.6083563,11.40524073,11.46502846,11.75448872,11.6828804,11.64485909,11.43180852,11.83076868
"ASCRP000915",6.122275118,6.457295641,6.238991588,6.241051552,6.937399617,6.241906993,6.400675145,6.67437614,6.407092021,6.460922973,5.988291039,6.824270387,6.571193217,6.664714886
"ASCRP000916",6.676806508,6.517512437,6.144819062,6.066549388,7.503173851,7.850266038,6.61355172,7.245425893,6.537145685,6.966747994,6.701407501,6.67571431,6.735313142,7.193920068
"ASCRP000917",6.832980246,6.631006244,6.286053617,6.462362438,7.901046949,8.114876476,6.74351447,7.71397767,6.752104333,7.328313333,7.223725548,7.251601626,7.51768372,8.108577353
"ASCRP000919",5.996634679,5.893318947,5.977131426,5.981514379,6.170708423,6.072153567,6.094457481,6.040203966,6.402136102,6.280626425,6.064289058,7.278829319,6.139981391,6.054516634
"ASCRP000920",5.927724776,6.005546458,5.975635369,6.215639691,6.202362226,6.102854564,5.954586559,5.941607143,5.905538697,6.125377435,5.954972159,6.611999982,6.072410852,6.058690027
"ASCRP000921",9.352605855,9.00639415,9.80362805,10.12639674,9.821347877,9.871389018,9.284732484,8.116063866,9.555341012,9.187254548,10.32689929,9.409638712,8.916881628,9.705726923
"ASCRP000922",7.431983456,7.378790117,7.687997902,8.518216555,7.508224448,7.522148079,7.073697546,6.751922714,7.385714656,7.809874016,9.082282746,9.511353951,7.392659142,7.815040329
"ASCRP000923",6.282312451,6.051601951,5.953083775,5.879918602,6.402945039,6.524629337,6.189984065,6.150546485,6.35530503,6.356171228,6.302478303,6.882640903,6.30382396,6.725882018
"ASCRP000924",6.119207647,5.995458726,6.193339703,6.51340749,6.063437138,6.208138208,6.135378685,6.107766594,6.15085425,6.102270539,6.154962346,6.440266202,6.098182049,6.211639887
"ASCRP000925",5.970388951,5.876085856,5.886344574,5.931497608,6.131113409,6.254964935,6.261211513,6.002621998,6.664511773,6.344266642,6.658924671,7.410652578,6.250412916,6.285057168
"ASCRP000926",6.287874024,6.068658686,5.957896746,5.939524245,6.693227811,6.552195827,6.440320162,7.080099651,6.240216649,6.672297594,6.145573105,6.867467789,6.508057953,7.055691657
"ASCRP000927",6.071623824,5.933754334,5.950652235,5.896814565,6.271640676,5.614856744,6.240269091,6.223220995,6.045773051,6.429979535,6.098537585,6.44975948,6.30382396,6.14189039
"ASCRP000928",6.556647717,6.080779465,5.988591456,5.888661232,7.381690133,7.289305617,6.702554065,8.348773632,6.450566442,7.629461505,7.012179636,7.475299223,7.988087019,7.290717977
"ASCRP000929",6.47326573,6.342709116,6.635911664,7.335711018,6.531031475,6.475616715,6.557072034,6.409777179,6.646744889,6.540975842,6.365341846,7.291363898,7.024364982,6.814038077
"ASCRP000930",6.1955972,6.021807152,5.936563602,6.116922616,6.514786423,6.413196094,6.395312829,6.408090256,6.767246829,6.675031419,5.991359293,7.487548547,7.158112193,6.971144893
